order_id,customer_id,order_date,status,order_amount
3001,1001,2024-01-05,completed,428.00
3002,1002,2024-01-07,Completed,499.00
3003,1003,2024-01-10,pending,377.00
3004,1001,2024-01-12,completed,129.00
3005,1004,2024-01-15,cancelled,299.00
3006,1005,2024-01-18,completed,957.00
3007,1006,2024-01-20,completed,478.00
3008,1007,2024-01-22,pending,89.00
3009,1008,2024-01-25,completed,658.00
3010,1001,2024-02-02,completed,328.00
3011,1002,2024-02-05,completed,79.00
3012,1003,2024-02-08,completed,159.00
