payment_id,order_id,pay_type,pay_time,pay_amount,pay_status
5001,3001,wechat,2024-01-05 10:20:00,428.00,success
5002,3002,alipay,2024-01-07 15:30:00,499.00,success
5003,3003,alipay,2024-01-10 09:10:00,377.00,success
5004,3004,wechat,2024-01-12 20:05:00,129.00,success
5005,3005,wechat,2024-01-15 11:40:00,299.00,refunded
5006,3006,alipay,2024-01-18 14:22:00,957.00,success
5007,3007,wechat,2024-01-20 08:55:00,478.00,success
5008,3008,alipay,2024-01-22 19:30:00,89.00,success
5009,3009,unionpay,2024-01-25 16:45:00,658.00,success
5010,3010,wechat,2024-02-02 12:10:00,328.00,success
5011,3011,alipay,2024-02-05 18:00:00,79.00,success
5012,3012,wechat,2024-02-08 21:15:00,159.00,success
